bash: nohubp: command not found
nohup: ignoring input
/usr/local/python3.10.14/lib/python3.10/site-packages/numpy/core/getlimits.py:549: UserWarning: The value of the smallest subnormal for <class 'numpy.float64'> type is zero.
  setattr(self, word, getattr(machar, word).flat[0])
/usr/local/python3.10.14/lib/python3.10/site-packages/numpy/core/getlimits.py:89: UserWarning: The value of the smallest subnormal for <class 'numpy.float64'> type is zero.
  return self._float_to_str(self.smallest_subnormal)
/usr/local/python3.10.14/lib/python3.10/site-packages/numpy/core/getlimits.py:549: UserWarning: The value of the smallest subnormal for <class 'numpy.float32'> type is zero.
  setattr(self, word, getattr(machar, word).flat[0])
/usr/local/python3.10.14/lib/python3.10/site-packages/numpy/core/getlimits.py:89: UserWarning: The value of the smallest subnormal for <class 'numpy.float32'> type is zero.
  return self._float_to_str(self.smallest_subnormal)
Modular Diffusers is currently an experimental feature under active development. The API is subject to breaking changes in future releases.
[WARNING] ME(3548364:281473704089152,MainProcess):2025-11-23-22:01:26.592.000 [mindspore/context.py:1412] For 'context.set_context', the parameter 'device_target' will be deprecated and removed in a future version. Please use the api mindspore.set_device() instead.
[WARNING] ME(3548364:281473704089152,MainProcess):2025-11-23-22:01:26.593.000 [mindspore/context.py:1412] For 'context.set_context', the parameter 'device_id' will be deprecated and removed in a future version. Please use the api mindspore.set_device() instead.
[MS_ALLOC_CONF]Runtime config:  enable_vmm:True  vmm_align_size:2MB
`torch_dtype` is deprecated! Use `dtype` instead!

Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]
Loading checkpoint shards:  25%|██▌       | 1/4 [00:22<01:08, 22.76s/it]
Loading checkpoint shards:  50%|█████     | 2/4 [00:43<00:43, 21.78s/it]
Loading checkpoint shards:  75%|███████▌  | 3/4 [01:05<00:21, 21.62s/it]
Loading checkpoint shards: 100%|██████████| 4/4 [01:25<00:00, 21.23s/it]
Loading checkpoint shards: 100%|██████████| 4/4 [01:25<00:00, 21.48s/it]
[INFO] 开始训练 Loop (已开启OOM熔断保护)...
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
[训练] Epoch 1, Step 1, Loss: 2.0301
[训练] Epoch 1, Step 2, Loss: 1.9093
[训练] Epoch 1, Step 3, Loss: 1.6416
[训练] Epoch 1, Step 4, Loss: 1.6409
[训练] Epoch 1, Step 5, Loss: 1.9049
[训练] Epoch 1, Step 6, Loss: 1.5523
[训练] Epoch 1, Step 7, Loss: 1.6365
[训练] Epoch 1, Step 8, Loss: 2.0775
[训练] Epoch 1, Step 9, Loss: 1.6647
[训练] Epoch 1, Step 10, Loss: 1.6803
[训练] Epoch 1, Step 11, Loss: 1.6258
[训练] Epoch 1, Step 12, Loss: 1.6570
[训练] Epoch 1, Step 13, Loss: 1.7239
[训练] Epoch 1, Step 14, Loss: 2.0050
[训练] Epoch 1, Step 15, Loss: 1.8044
[训练] Epoch 1, Step 16, Loss: 2.1068
[训练] Epoch 1, Step 17, Loss: 1.9666
[训练] Epoch 1, Step 18, Loss: 1.6316
[训练] Epoch 1, Step 19, Loss: 1.8019
[训练] Epoch 1, Step 20, Loss: 1.8203
[训练] Epoch 1, Step 21, Loss: 1.9955
[训练] Epoch 1, Step 22, Loss: 1.6391
[训练] Epoch 1, Step 23, Loss: 1.7696
[训练] Epoch 1, Step 24, Loss: 1.9229
[训练] Epoch 1, Step 25, Loss: 1.5961
[训练] Epoch 1, Step 26, Loss: 1.9262
[训练] Epoch 1, Step 27, Loss: 1.6505
[训练] Epoch 1, Step 28, Loss: 1.5726
[训练] Epoch 1, Step 29, Loss: 1.7660
[训练] Epoch 1, Step 30, Loss: 1.7131
